id_data,data,anno,mese,giorno,is_weekend,is_festivo
1,2022-12-06,2022,12,6,0,0
2,2022-12-19,2022,12,19,0,0
3,2022-12-27,2022,12,27,0,0
4,2021-10-27,2021,10,27,0,0
5,2021-10-04,2021,10,4,0,0
6,2021-11-04,2021,11,4,0,0
7,2021-12-01,2021,12,1,0,0
8,2021-12-11,2021,12,11,1,0
9,2021-12-31,2021,12,31,0,0
10,2022-01-17,2022,1,17,0,0
11,2022-02-16,2022,2,16,0,0
12,2022-02-19,2022,2,19,1,0
13,2023-08-10,2023,8,10,0,0
14,2023-08-18,2023,8,18,0,0
15,2023-02-07,2023,2,7,0,0
16,2023-02-16,2023,2,16,0,0
17,2025-11-17,2025,11,17,0,0
18,2025-12-16,2025,12,16,0,0
19,2025-12-25,2025,12,25,0,1
20,2025-12-30,2025,12,30,0,0
21,2025-06-29,2025,6,29,1,0
22,2024-09-10,2024,9,10,0,0
23,2024-09-22,2024,9,22,1,0
24,2024-09-04,2024,9,4,0,0
25,2024-10-11,2024,10,11,0,0
26,2021-05-30,2021,5,30,1,0
27,2021-06-12,2021,6,12,1,0
28,2023-11-15,2023,11,15,0,0
29,2023-11-30,2023,11,30,0,0
30,2023-11-01,2023,11,1,0,1
31,2023-12-04,2023,12,4,0,0
32,2023-12-09,2023,12,9,1,0
33,2023-12-17,2023,12,17,1,0
34,2024-01-10,2024,1,10,0,0
35,2024-01-11,2024,1,11,0,0
36,2024-01-18,2024,1,18,0,0
37,2024-01-19,2024,1,19,0,0
38,2024-01-21,2024,1,21,1,0
39,2025-01-29,2025,1,29,0,0
40,2025-01-09,2025,1,9,0,0
41,2025-03-14,2025,3,14,0,0
42,2025-03-18,2025,3,18,0,0
43,2023-09-22,2023,9,22,0,0
44,2023-10-02,2023,10,2,0,0
45,2023-04-24,2023,4,24,0,0
46,2023-01-30,2023,1,30,0,0
47,2025-08-08,2025,8,8,0,0
48,2025-09-19,2025,9,19,0,0
49,2025-09-20,2025,9,20,1,0
50,2025-09-22,2025,9,22,0,0
51,2025-10-05,2025,10,5,1,0
52,2025-10-07,2025,10,7,0,0
53,2025-10-13,2025,10,13,0,0
54,2025-10-22,2025,10,22,0,0
55,2025-10-27,2025,10,27,0,0
56,2025-07-15,2025,7,15,0,0
57,2025-07-26,2025,7,26,1,0
58,2025-07-06,2025,7,6,1,0
59,2021-07-11,2021,7,11,1,0
60,2021-07-17,2021,7,17,1,0
61,2021-07-25,2021,7,25,1,0
62,2021-08-04,2021,8,4,0,0
63,2021-08-22,2021,8,22,1,0
64,2021-08-24,2021,8,24,0,0
65,2021-09-27,2021,9,27,0,0
66,2022-03-04,2022,3,4,0,0
67,2022-03-31,2022,3,31,0,0
68,2022-04-13,2022,4,13,0,0
69,2022-06-01,2022,6,1,0,0
70,2022-06-07,2022,6,7,0,0
71,2022-06-10,2022,6,10,0,0
72,2022-06-23,2022,6,23,0,0
73,2024-08-22,2024,8,22,0,0
74,2024-08-09,2024,8,9,0,0
75,2024-03-25,2024,3,25,0,0
76,2024-03-30,2024,3,30,1,0
77,2024-04-02,2024,4,2,0,0
78,2024-04-05,2024,4,5,0,0
79,2024-04-14,2024,4,14,1,0
80,2024-04-19,2024,4,19,0,0
81,2024-04-29,2024,4,29,0,0
82,2024-06-17,2024,6,17,0,0
83,2024-11-05,2024,11,5,0,0
84,2024-11-27,2024,11,27,0,0
85,2024-12-04,2024,12,4,0,0
86,2024-12-07,2024,12,7,1,0
87,2024-12-19,2024,12,19,0,0
88,2024-12-21,2024,12,21,1,0
89,2024-07-28,2024,7,28,1,0
90,2025-04-27,2025,4,27,1,0
91,2025-04-22,2025,4,22,0,0
92,2025-04-23,2025,4,23,0,0
93,2021-01-04,2021,1,4,0,0
94,2021-01-19,2021,1,19,0,0
95,2021-01-28,2021,1,28,0,0
96,2021-02-01,2021,2,1,0,0
97,2021-02-12,2021,2,12,0,0
98,2021-03-03,2021,3,3,0,0
99,2021-03-04,2021,3,4,0,0
100,2021-03-09,2021,3,9,0,0
101,2021-03-11,2021,3,11,0,0
102,2021-03-17,2021,3,17,0,0
103,2021-03-21,2021,3,21,1,0
104,2023-06-19,2023,6,19,0,0
105,2023-06-21,2023,6,21,0,0
106,2023-06-24,2023,6,24,1,0
107,2023-06-26,2023,6,26,0,0
108,2021-04-27,2021,4,27,0,0
109,2022-07-05,2022,7,5,0,0
110,2022-07-24,2022,7,24,1,0
111,2022-08-12,2022,8,12,0,0
112,2022-09-19,2022,9,19,0,0
113,2023-07-05,2023,7,5,0,0
114,2023-07-12,2023,7,12,0,0
115,2023-07-17,2023,7,17,0,0
677,2022-12-25,2022,12,25,1,1
678,2021-10-23,2021,10,23,1,0
679,2021-10-26,2021,10,26,0,0
680,2021-10-30,2021,10,30,1,0
681,2021-10-31,2021,10,31,1,0
682,2021-11-01,2021,11,1,0,1
683,2021-11-10,2021,11,10,0,0
684,2021-11-29,2021,11,29,0,0
685,2022-02-14,2022,2,14,0,0
686,2022-02-20,2022,2,20,1,0
687,2023-07-24,2023,7,24,0,0
688,2023-08-06,2023,8,6,1,0
689,2023-08-09,2023,8,9,0,0
690,2023-08-14,2023,8,14,0,0
691,2023-08-15,2023,8,15,0,1
692,2023-08-23,2023,8,23,0,0
693,2023-02-25,2023,2,25,1,0
694,2023-02-27,2023,2,27,0,0
695,2023-02-02,2023,2,2,0,0
696,2023-02-04,2023,2,4,1,0
697,2023-02-12,2023,2,12,1,0
698,2023-02-15,2023,2,15,0,0
699,2023-03-19,2023,3,19,1,0
700,2023-04-11,2023,4,11,0,0
701,2023-04-17,2023,4,17,0,0
702,2023-04-19,2023,4,19,0,0
703,2025-11-22,2025,11,22,1,0
704,2025-12-10,2025,12,10,0,0
705,2025-12-22,2025,12,22,0,0
706,2025-12-29,2025,12,29,0,0
707,2024-09-15,2024,9,15,1,0
708,2024-09-21,2024,9,21,1,0
709,2024-09-24,2024,9,24,0,0
710,2024-10-19,2024,10,19,1,0
711,2024-10-26,2024,10,26,1,0
712,2021-05-17,2021,5,17,0,0
713,2021-06-07,2021,6,7,0,0
714,2021-06-23,2021,6,23,0,0
715,2024-01-02,2024,1,2,0,0
716,2024-01-07,2024,1,7,1,0
717,2024-01-12,2024,1,12,0,0
718,2024-01-15,2024,1,15,0,0
719,2024-01-27,2024,1,27,1,0
720,2025-01-03,2025,1,3,0,0
721,2025-01-06,2025,1,6,0,1
722,2025-02-17,2025,2,17,0,0
723,2025-02-20,2025,2,20,0,0
724,2025-03-07,2025,3,7,0,0
725,2025-03-23,2025,3,23,1,0
726,2025-03-31,2025,3,31,0,0
727,2023-08-31,2023,8,31,0,0
728,2023-09-07,2023,9,7,0,0
729,2023-09-20,2023,9,20,0,0
