id_meteo,timestamp_completo,temperatura,temperatura_percepita,codice_meteo,descrizione,fascia_temperatura
1,2021-01-01 00:00:00,2.00,-0.70,2,Nuvoloso,Freddo
2,2021-01-01 01:00:00,5.00,2.50,2,Nuvoloso,Freddo
3,2021-01-01 02:00:00,4.80,2.40,53,Pioggia,Freddo
4,2021-01-01 03:00:00,6.20,3.80,3,Nuvoloso,Freddo
5,2021-01-01 04:00:00,5.70,3.80,2,Nuvoloso,Freddo
6,2021-01-01 05:00:00,5.00,3.20,2,Nuvoloso,Freddo
7,2021-01-01 06:00:00,4.20,2.30,2,Nuvoloso,Freddo
8,2021-01-01 07:00:00,3.80,1.60,3,Nuvoloso,Freddo
9,2021-01-01 08:00:00,2.10,-0.60,3,Nuvoloso,Freddo
10,2021-01-01 09:00:00,4.20,1.70,3,Nuvoloso,Freddo
11,2021-01-01 10:00:00,5.80,3.20,3,Nuvoloso,Freddo
12,2021-01-01 11:00:00,7.10,4.50,3,Nuvoloso,Freddo
13,2021-01-01 12:00:00,7.90,5.40,3,Nuvoloso,Freddo
14,2021-01-01 13:00:00,3.80,2.00,3,Nuvoloso,Freddo
15,2021-01-01 14:00:00,4.50,2.70,55,Pioggia,Freddo
16,2021-01-01 15:00:00,4.60,2.50,53,Pioggia,Freddo
17,2021-01-01 16:00:00,5.00,2.80,51,Pioggia,Freddo
18,2021-01-01 17:00:00,5.10,2.70,53,Pioggia,Freddo
19,2021-01-01 18:00:00,5.60,2.80,51,Pioggia,Freddo
20,2021-01-01 19:00:00,5.40,2.40,51,Pioggia,Freddo
21,2021-01-01 20:00:00,5.10,1.70,51,Pioggia,Freddo
22,2021-01-01 21:00:00,4.90,2.00,3,Nuvoloso,Freddo
23,2021-01-01 22:00:00,4.90,2.90,3,Nuvoloso,Freddo
24,2021-01-01 23:00:00,3.80,1.70,3,Nuvoloso,Freddo
25,2021-01-02 00:00:00,3.50,1.10,3,Nuvoloso,Freddo
26,2021-01-02 01:00:00,2.10,-0.90,3,Nuvoloso,Freddo
27,2021-01-02 02:00:00,2.80,0.30,3,Nuvoloso,Freddo
28,2021-01-02 03:00:00,2.20,-0.30,3,Nuvoloso,Freddo
29,2021-01-02 04:00:00,2.80,0.60,53,Pioggia,Freddo
30,2021-01-02 05:00:00,3.30,1.20,61,Pioggia,Freddo
31,2021-01-02 06:00:00,2.80,0.40,61,Pioggia,Freddo
32,2021-01-02 07:00:00,3.20,0.80,51,Pioggia,Freddo
33,2021-01-02 08:00:00,3.80,1.10,51,Pioggia,Freddo
34,2021-01-02 09:00:00,4.40,2.20,53,Pioggia,Freddo
35,2021-01-02 10:00:00,5.40,3.40,53,Pioggia,Freddo
36,2021-01-02 11:00:00,6.50,4.70,51,Pioggia,Freddo
37,2021-01-02 12:00:00,7.00,5.30,51,Pioggia,Freddo
38,2021-01-02 13:00:00,5.00,3.40,3,Nuvoloso,Freddo
39,2021-01-02 14:00:00,6.30,4.80,3,Nuvoloso,Freddo
40,2021-01-02 15:00:00,6.70,5.10,3,Nuvoloso,Freddo
41,2021-01-02 16:00:00,6.40,4.70,3,Nuvoloso,Freddo
42,2021-01-02 17:00:00,5.80,4.20,51,Pioggia,Freddo
43,2021-01-02 18:00:00,5.80,4.30,53,Pioggia,Freddo
44,2021-01-02 19:00:00,6.10,4.50,51,Pioggia,Freddo
45,2021-01-02 20:00:00,5.90,3.90,53,Pioggia,Freddo
46,2021-01-02 21:00:00,5.30,2.90,51,Pioggia,Freddo
47,2021-01-02 22:00:00,4.90,2.20,1,Nuvoloso,Freddo
48,2021-01-02 23:00:00,4.90,1.90,3,Nuvoloso,Freddo
49,2021-01-03 00:00:00,5.90,2.80,2,Nuvoloso,Freddo
50,2021-01-03 01:00:00,5.90,3.10,2,Nuvoloso,Freddo
51,2021-01-03 02:00:00,4.40,1.60,0,Cielo Sereno,Freddo
52,2021-01-03 03:00:00,4.30,1.70,0,Cielo Sereno,Freddo
53,2021-01-03 04:00:00,4.40,1.60,3,Nuvoloso,Freddo
54,2021-01-03 05:00:00,4.20,1.50,3,Nuvoloso,Freddo
55,2021-01-03 06:00:00,3.90,1.30,3,Nuvoloso,Freddo
56,2021-01-03 07:00:00,3.60,0.90,1,Nuvoloso,Freddo
57,2021-01-03 08:00:00,3.30,0.40,1,Nuvoloso,Freddo
58,2021-01-03 09:00:00,6.00,3.30,1,Nuvoloso,Freddo
59,2021-01-03 10:00:00,8.40,6.50,1,Nuvoloso,Freddo
60,2021-01-03 11:00:00,9.90,8.40,51,Pioggia,Freddo
61,2021-01-03 12:00:00,10.40,8.70,0,Cielo Sereno,Mite
62,2021-01-03 13:00:00,10.20,8.10,1,Nuvoloso,Mite
63,2021-01-03 14:00:00,10.50,8.20,3,Nuvoloso,Mite
64,2021-01-03 15:00:00,10.10,7.60,3,Nuvoloso,Mite
65,2021-01-03 16:00:00,9.10,6.50,3,Nuvoloso,Freddo
66,2021-01-03 17:00:00,7.30,4.80,51,Pioggia,Freddo
67,2021-01-03 18:00:00,6.20,4.00,51,Pioggia,Freddo
68,2021-01-03 19:00:00,6.00,3.90,51,Pioggia,Freddo
69,2021-01-03 20:00:00,4.80,2.50,3,Nuvoloso,Freddo
70,2021-01-03 21:00:00,4.00,1.70,3,Nuvoloso,Freddo
71,2021-01-03 22:00:00,4.80,2.60,51,Pioggia,Freddo
72,2021-01-03 23:00:00,4.80,3.00,51,Pioggia,Freddo
73,2021-01-04 00:00:00,4.10,1.90,51,Pioggia,Freddo
74,2021-01-04 01:00:00,4.50,2.30,2,Nuvoloso,Freddo
75,2021-01-04 02:00:00,3.30,1.00,3,Nuvoloso,Freddo
76,2021-01-04 03:00:00,2.00,-0.80,3,Nuvoloso,Freddo
77,2021-01-04 04:00:00,1.60,-1.10,2,Nuvoloso,Freddo
78,2021-01-04 05:00:00,1.40,-1.20,1,Nuvoloso,Freddo
79,2021-01-04 06:00:00,1.10,-1.50,1,Nuvoloso,Freddo
80,2021-01-04 07:00:00,1.00,-1.80,0,Cielo Sereno,Freddo
81,2021-01-04 08:00:00,0.80,-2.00,3,Nuvoloso,Freddo
82,2021-01-04 09:00:00,2.70,-0.10,2,Nuvoloso,Freddo
83,2021-01-04 10:00:00,4.80,2.40,1,Nuvoloso,Freddo
84,2021-01-04 11:00:00,5.80,3.50,1,Nuvoloso,Freddo
85,2021-01-04 12:00:00,7.00,5.10,2,Nuvoloso,Freddo
86,2021-01-04 13:00:00,7.50,5.30,3,Nuvoloso,Freddo
87,2021-01-04 14:00:00,7.20,5.10,1,Nuvoloso,Freddo
88,2021-01-04 15:00:00,6.90,4.60,1,Nuvoloso,Freddo
