id_meteo,timestamp_completo,temperatura,temperatura_percepita,codice_meteo,descrizione,fascia_temperatura
43825,2021-01-01 00:00:00,2.00,-0.70,2,Nuvoloso,Freddo
43826,2021-01-01 01:00:00,5.00,2.50,2,Nuvoloso,Freddo
43827,2021-01-01 02:00:00,4.80,2.40,53,Pioggia,Freddo
43828,2021-01-01 03:00:00,6.20,3.80,3,Nuvoloso,Freddo
43829,2021-01-01 04:00:00,5.70,3.80,2,Nuvoloso,Freddo
43830,2021-01-01 05:00:00,5.00,3.20,2,Nuvoloso,Freddo
43831,2021-01-01 06:00:00,4.20,2.30,2,Nuvoloso,Freddo
43832,2021-01-01 07:00:00,3.80,1.60,3,Nuvoloso,Freddo
43833,2021-01-01 08:00:00,2.10,-0.60,3,Nuvoloso,Freddo
43834,2021-01-01 09:00:00,4.20,1.70,3,Nuvoloso,Freddo
43835,2021-01-01 10:00:00,5.80,3.20,3,Nuvoloso,Freddo
43836,2021-01-01 11:00:00,7.10,4.50,3,Nuvoloso,Freddo
43837,2021-01-01 12:00:00,7.90,5.40,3,Nuvoloso,Freddo
43838,2021-01-01 13:00:00,3.80,2.00,3,Nuvoloso,Freddo
43839,2021-01-01 14:00:00,4.50,2.70,55,Pioggia,Freddo
43840,2021-01-01 15:00:00,4.60,2.50,53,Pioggia,Freddo
43841,2021-01-01 16:00:00,5.00,2.80,51,Pioggia,Freddo
43842,2021-01-01 17:00:00,5.10,2.70,53,Pioggia,Freddo
43843,2021-01-01 18:00:00,5.60,2.80,51,Pioggia,Freddo
43844,2021-01-01 19:00:00,5.40,2.40,51,Pioggia,Freddo
43845,2021-01-01 20:00:00,5.10,1.70,51,Pioggia,Freddo
43846,2021-01-01 21:00:00,4.90,2.00,3,Nuvoloso,Freddo
43847,2021-01-01 22:00:00,4.90,2.90,3,Nuvoloso,Freddo
43848,2021-01-01 23:00:00,3.80,1.70,3,Nuvoloso,Freddo
43849,2021-01-02 00:00:00,3.50,1.10,3,Nuvoloso,Freddo
43850,2021-01-02 01:00:00,2.10,-0.90,3,Nuvoloso,Freddo
43851,2021-01-02 02:00:00,2.80,0.30,3,Nuvoloso,Freddo
43852,2021-01-02 03:00:00,2.20,-0.30,3,Nuvoloso,Freddo
43853,2021-01-02 04:00:00,2.80,0.60,53,Pioggia,Freddo
43854,2021-01-02 05:00:00,3.30,1.20,61,Pioggia,Freddo
43855,2021-01-02 06:00:00,2.80,0.40,61,Pioggia,Freddo
43856,2021-01-02 07:00:00,3.20,0.80,51,Pioggia,Freddo
43857,2021-01-02 08:00:00,3.80,1.10,51,Pioggia,Freddo
43858,2021-01-02 09:00:00,4.40,2.20,53,Pioggia,Freddo
